incident_id,species_code,lat,lon,year,month,vessel_type,speed_knots,outcome,source,notes
OBIS_09ba7d7c-f5cd-4066-b29f-5d9e4e314c6e,HUMPBACK,41.64198,-69.37626,2014,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09bb6707-769a-4bd8-b7f6-9a2f449bd1ce,HUMPBACK,41.79335,-69.73764,2009,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2009
OBIS_09bb6f42-c722-496a-8b05-ae97f390ffa3,HUMPBACK,41.75367,-69.66125,2003,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09bccf97-81f9-4925-86de-22155d523e0e,HUMPBACK,42.18183,-70.267,2009,11,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2009
OBIS_09bea52c-5c15-40ee-bea9-2fb7b331f28f,HUMPBACK,41.24654,-68.92669,2012,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09bf5c45-9566-4657-9017-93755ed28a84,HUMPBACK,41.056587,-70.417946,2023,4,,,unknown,OBIS_MachineObservation,AMAPPS Northeast Aerial Cruise Spring 2023
OBIS_09c0641d-6212-45b7-8f7a-f1851c43c201,HUMPBACK,42.14208,-70.38285,2013,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2013
OBIS_09c06b40-8790-4f61-aec9-c70c6107edb3,HUMPBACK,42.85052,-70.55186,2023,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09c12e9f-d3e3-4bc9-bcdc-be79031c1087,HUMPBACK,43.50539,-69.55721,2003,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09cc3d6c-f75d-4bf2-8830-5eb716c2441f,HUMPBACK,42.17702,-70.13482,2010,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_09cc8f1c-a50d-42ae-b48e-99e2f9a7471a,HUMPBACK,42.24818,-70.17118,2008,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2008
OBIS_09ce6507-3358-4490-bbb9-5c0fd4a93353,HUMPBACK,42.440333,-70.425167,2018,5,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_09ce8f4f-f213-4b94-81ae-7535083209ba,HUMPBACK,41.23946,-68.98612,2003,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2003
OBIS_09d52021-43d5-4f87-8b60-207751f8116c,HUMPBACK,40.95546,-71.743293,2020,9,,,unknown,OBIS_MachineObservation,CRESLI marine mammal observations from whale watch cruises 2020
OBIS_09d53b45-11cb-4b63-96fa-4db041b805d5,HUMPBACK,44.09611,-67.12388,2017,8,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_09d5bb51-d9d2-4cad-9ab0-9852f59daf5a,HUMPBACK,42.130137,-70.348206,2023,6,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
